name,id
BigShukk,473729548
Shaylaw_Holmes,721713204980817927
HackathonPortal,872351463678386178
sruju16,804978554312290304
MohithTallam,1147022537563357184
vishwas_badiger,942131761147809792
Nevasini1,1385123312875950087
Nitin_352,4695558013
612Aksh,3113668031
nikhilprakashhh,1110802279060234241
VishnuOlety,1450829256
blackpsyduck7,821685274786856960
badabingbazaboo,764762412339769344
Adimanx11Mane,1509156661449347073
ratakittydoggo,1140966087682473984
dhrvmenon,1473893833461043203
GrouverAnaica,1139519706698665984
moneyman2709,2853941888
Shreyas2201,4648345698
Rebeccaaalfred,1480215352550178817
reddevilsab,1262007528721809408
fish4booty,1355217587714449409
pepperblew,1506484559357317120
AryanJa59437740,1205472010773549056
ayushmehk,913734075587878912
teknas231,1157650232521265153
_abhishek_m_s,3117377938
ChudasPriest,1086542458647990272
ShulkerR6,827629337809653761
that_short_shit,1079403117123391488
Athreya_Vishnu_,1003170502972542976
praj_kp,1017108564429627392
govardhnn,2876732521
JagritiNadiger,1282344134825529344
IamAyushSingh24,1423875516902248448
mayankk_agarwal,3245358649
fireballlpapi,1242738027249586176
SHITvaani,1267321207801516032
rehangmu_1710,924103024028483585
Adithya_nair_,1139124129188073477
Bharg4v,1249343092957655042
Shreyas_xyz,1191711549678743552
archit2098,588244470
HrishikaJotwani,1226363364131033088
pramathharish,834992149758255104
AryamanDubey4,1268952216267902976
aru__she,833359275233652736
tweetsrihari,952910820735774722
TheMetronomesCC,1493512389697970177
Rajesh_M_Mysor,1418346760607395842
GowdarTejas,1426547648631230469
Yogism97,1149678713463644160
mehtreyi,1284839845861273602
therealtushi,1497605466968723504
GauthamYS,1429603854
binarydreamtree,1317498004199256064
La_Ruim,958759926549147649
rilla_2004,1435522604828225538
ohshiiin,1257788962111799296
adu_boiii,1283378917168934913
ParaswarPranav,304837903
SharatH46740404,1384750065047130114
amritaaramesh,1303161128873156608
Gils_Paul13,1483029280699588608
ks_sohanraj,1449614168265408513
SBhaktharam,1192409641273065473
burgerbacha_,966035591191236610
QuizzerThirsty,1379123193277870084
AbhishekSMB,1396773595
RohitSulake,1412783242260881415
chunnuthakur3,2776544702
ajaysapru27,4797376702
smrithihihi,1475691974845886464
yashas_karthik,4168701552
whypranav,1116602726270390273
Rowdy_Ranga_,1455814313063567371
Nithin_m_kamath,844812358971117569
SanjanaKoppella,1428587673116037121
kapasiayush,802416910813933568
zethazhemadam,610131860
doodhwalaaa,1280037324504526848
DevangaAnusha,1351451066622119937
viishruth,3274985820
kunal_49_bhat,3274572859
sumukhbhat2701,730358072506519552
ya_vuh,4798666566
TharunJ30,1287594949228150784
GbHaritha,1004642350553968640
Thalavenger,1372301511129243650
diarun_002,159465591
PresidentMisbah,1311230362941489152
AprilSampley4,1467861251459936257
2ez4TejuVG,745566943080394752
ryan_mannes,2720589114
notsamyuktha,1247213980797427724
mihirkestur,1471326060075630592
thespesme,1233224335747215361
SiddharthM963,1280360328430116864
SankalpDevanand,1231447679814656000
AnirudhCb,1327638262920273920
idekanymorepls,860040731674775552
YashiChawla,1300814862130360320
sachinshankar01,831682449864286208
Bhagya28201750,1135751408802680832
alcorrrrrrr,1613156095
bhuvan_18007,795674214690918400
SiddharthSoora,1249295950549401600
srivatsa_av1,4089979760
gaya3cantshutup,1472558789698019330
hariprasadn99,771622961153396736
AishwaryaBS06,1460180698556297221
LokeshUvaraj,883720758723092480
shreyasri01,1382680394349236228
ayushsingh_a5,1471725223082745858
saltyMaggi,1379709485325840387
lost_in_unkown,1138020332437008385
Shawshankgbhat,1471504126890557446
vibhamasti,3034153315
thundercookie_,3320026471
RiteshSapata,1277807884861009921
SuhasRK2,1266962455147671552
fetuinbaby,1325244204663115777
7Sailesh7,778520107177738240
DashoraMahim,1277637088842784769
rum_mya,1250017084890726405
fuxxagon,1409116057655078913
Cricketjim84,970085679572144128
sanket_kala,1330829532
notYummmm,1357736121535397888
kedar_shet,3196077097
rajnatuu,2987857076
mateshutup,38881813
cricadharsh,192623209
SACHINMS2001,1459440380345159682
akaboss2001,1468957860
Mohdkashan98,1051904061610577921
Carpo34,42604487
KaranBatham18,1083712464506646528
AnirudhRowjee,1345469474791591936
abhishhittt,1328927334812905478
ImSrijanG,1110553521932234752
shamanth_km,2838973913
__TNU_,1282017061573668866
kpb1331,3220242762
justmemesnme,1075775236832817153
rohantorescue,1451553004969103362
brucewayne20997,1439237453970227205
ananyeeah,1305910070782251009
tangy_31,1344738920
logimeek2001,1008363599226720256
PatilAvanish,1253539463751319552
nishsathish10,1071853071142141952
_muskankothari,1447084409018990595
vinaypnaidu27,1184475769482825728
shreyassk08,3269140134
standardsardard,1403983669908303874
notBeardedMonk,785833074319818752
AmoghK18,902853369332547585
rohitka1998,1442188289289510917
BradmansCoach,1280484903189012482
tabsOverSpaces_,1277835126236274688
utkarsh_gupt,725384293766291456
math_with_an_e,1436187424506277898
SBaasri,1154274912703356928
vkm1osv,790915671723020288
Sharanya121,1435223129765253122
OtaradiMahesh,1284806343275106304
Kunaldo_23,3167392476
zotako01,780439554784366592
Tanya21Arora,1098839084162789376
SamarthMathur7,1273713079587463173
MUFC_9908,3433778457
ayushggod,850556860411269121
gimmetechtip,2469365941
07914KARTHIK,1286630214571708417
ArooKrishna,1366336069319335943
MihailsCdoleman,1180481519208534017
udit_buch,1322448025
cric_aadukalam,1389455779825029120
R_Dravia,3113012450
ragu_24,1659273182
JonathanFowle10,1137854900
SBLIntl,1141988171359481857
mcskanth,83102052
MightyAussies,783891614544592896
Crickfootboi11,1417085422723866625
CoverDrivenFor4,1377193380
Parziva46048757,1355748483127369730
LePinchHitter,1095000870201278465
Samishsanthosh1,932713380099559424
bhavsarJ2_0,1183923867703595008
verbalAgreememt,1396486075732828160
aditeyabaral01,2872401203
SabeehaMajid,2210248787
DattaDachchu,1289485099306610688
Psychadelic37,316610005
dark_Nebula1,570960587
NandishRS1,1372421175012298754
abhinav_k316,142246862
zaheerullah2619,1249158958771732481
DarrenMordecai,1301141097461227521
hemang_am,738887984
Adarsh__ash,998238313541767169
El_Chopernos,705455265932443649
daniel36cricket,1353540781332598784
Sairaj0007,878187705569394688
iVishal_R,837163154639462401
8a78VSsE0iS9aZ0,1332596140806574082
elitecynic,453561396
CricInNumbers,1252901383138799617
faahil,46058528
gurkiratsgill,113606973
KS7745KS,820648173932843008
koustav_ch,282036690
AronyaBaksy,705763745079791617
sachinsurya200,107439729
deepity_yogesh,2176497307
srbharadwaj,53651717
FlushingGarros,786589232974352385
aranjitsial,2178275604
DrVirat6,1331479951250362368
PRAJWALDR98,3062609156
abhirama_cs,2755139832
Bingmanson,15671275
initialsass,4705027464
aprameya_l,1283430875988783104
VirotKuehli,1285800500055572480
CWC19Winner,1150830617178906624
Cric_Rishabh,2902376407
Thanos831,1305539707317616641
Subrama37156274,1282169788492468224
shivaayadav__,819789450515357697
AyushB45,1132653606501462016
piccisan,53079798
CricLifeStories,1181280921519116288
IdiotsSerious,1292087027614150658
jackhidary,17356547
sergiotellolee,635654572
quantum_mishra,1271327468444479488
darshilshahaha,1248995104817324034
Mr_Vadermutha,555199591
Trinityknight6,844672880302575617
Alan_Shek_Lun,3286359422
For6Hit,1188610603981692928
highOnBournvita,2649868380
saesunkim,742767375137673216
drMODIfied,1284486733220818944
StuartMegha,1262033924554813446
roysti10,746327100257271816
